Duration (min),Age,Weight (kg),Calories Burned,Exercise_Boxing,Exercise_Cycling,Exercise_Dancing,Exercise_Hiking,Exercise_Jump Rope,Exercise_Pilates,Exercise_Rowing,Exercise_Running,Exercise_Swimming,Exercise_Walking,Exercise_Weight Training,Exercise_Yoga,Intensity_High,Intensity_Low,Intensity_Medium
15,41,60,154,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
56,41,62,714,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
87,56,79,785,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
89,37,63,576,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
58,20,82,543,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
25,54,55,98,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
18,37,55,169,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
16,25,90,185,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
26,18,50,204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,24,64,392,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
68,52,57,531,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
80,43,96,614,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
40,38,75,411,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
29,58,86,342,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
14,46,65,78,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
46,31,79,332,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
70,60,50,600,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
17,27,66,153,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
19,22,74,220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,19,87,999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
13,46,80,74,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
80,50,96,789,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
74,48,84,355,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
54,51,84,622,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
57,58,95,618,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
69,19,81,718,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
41,60,93,305,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
22,28,93,385,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,46,83,184,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
26,57,51,136,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
34,56,97,329,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
80,44,66,724,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
85,57,59,1031,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
78,36,82,730,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
55,41,76,573,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
41,36,93,457,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
86,52,85,751,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
11,58,78,49,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
80,32,65,891,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
86,36,50,552,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
32,34,66,241,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
28,26,70,140,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
77,58,76,836,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
28,39,76,243,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
88,42,82,1133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,35,61,87,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
87,28,94,467,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
22,57,82,247,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
